V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q6,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1YpYl78OksO98Ax,Default Response Set,Anonymous,,,75.137.67.250,0,2016-06-20 11:41:14,2016-06-20 11:42:42,1,1,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neutral,Neutral,Somewhat low,Somewhat high,Somewhat high,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,,36.399505615234,-78.975997924805,-1,
R_25ZK7F3zk7LUfcG,Default Response Set,Anonymous,,,199.90.157.11,0,2016-06-20 11:51:07,2016-06-20 11:52:19,1,1,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat low,Somewhat low,Very high,Somewhat low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,35.683807373047,-78.663597106934,-1,
R_1rifcB6KOgJa8qt,Default Response Set,Anonymous,,,199.90.157.11,0,2016-06-20 11:54:05,2016-06-20 11:55:05,1,1,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat low,Very low,Very high,Somewhat low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,35.683807373047,-78.663597106934,-1,
R_t0oVNNkzRIlJWKt,Default Response Set,Anonymous,,,24.163.88.178,0,2016-06-20 14:09:21,2016-06-20 14:10:23,1,1,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat low,Very low,Very high,Somewhat high,Somewhat low,Somewhat agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_3CTVrXTIkm6vcNd,Default Response Set,Anonymous,,,174.109.114.222,0,2016-06-20 15:15:22,2016-06-20 15:16:36,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat low,Very low,Somewhat high,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_SC4nbBck4IzkF2x,Default Response Set,Anonymous,,,152.16.191.34,0,2016-06-20 16:42:45,2016-06-20 16:44:48,1,1,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neutral,Somewhat high,Somewhat high,Neutral,Neutral,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"add multi touch gestures. also, i don't like how medications are shown as solid bars. there should be point events for prescriptions being made and being filled (like a vertical line) with a horizontal line passing through them to show continuity. it is too hard to tell when prescription events happened.",35.949996948242,-78.961601257324,-1,
R_rkx4lIOpfqIYQDL,Default Response Set,Anonymous,,,173.95.188.176,0,2016-06-20 16:47:20,2016-06-20 16:48:39,1,1,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat high,Neutral,Somewhat low,Somewhat high,Somewhat high,Somewhat disagree,Somewhat disagree,Somewhat agree,,35.67610168457,-78.81600189209,-1,
R_2QDv8XIKNu3mIZ3,Default Response Set,Anonymous,,,107.15.227.23,0,2016-06-20 16:52:14,2016-06-20 16:54:38,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat low,Somewhat low,Somewhat high,Somewhat low,Somewhat low,Strongly agree,Strongly agree,Strongly agree,,35.889602661133,-78.92440032959,-1,
R_OcLpBmiKo1zJZQt,Default Response Set,Anonymous,,,107.15.60.47,0,2016-06-20 16:57:42,2016-06-20 16:59:13,1,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat low,Very low,Somewhat high,Somewhat high,Somewhat low,Somewhat agree,Somewhat agree,Somewhat agree,,35.949996948242,-78.961601257324,-1,
R_1MR5JsXOsP8uLX0,Default Response Set,Anonymous,,,24.163.76.99,0,2016-06-20 17:43:53,2016-06-20 17:44:54,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Very low,Very low,Very high,Very low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_3oL3oFiBWMwBTzG,Default Response Set,Anonymous,,,24.163.76.99,0,2016-06-20 17:45:09,2016-06-20 17:45:50,1,1,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Very low,Very low,Very high,Very low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_31sVNHO6f7VUtgX,Default Response Set,Anonymous,,,76.182.34.189,0,2016-06-20 18:31:39,2016-06-20 18:33:28,1,1,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Somewhat low,Somewhat high,Neutral,Very low,Strongly agree,Strongly agree,Strongly agree,,35.889602661133,-78.92440032959,-1,
R_3oANLEXuhMoknXC,Default Response Set,Anonymous,,,45.37.111.70,0,2016-06-20 19:34:35,2016-06-20 19:36:00,1,1,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neutral,Neutral,Neutral,Somewhat low,Neutral,Neither agree nor disagree,Somewhat agree,Somewhat agree,scrolling to the front and end of the timeline was a bit annoying,35.966598510742,-79.041000366211,-1,
R_1PekxLNM1vMx6TO,Default Response Set,Anonymous,,,174.109.119.106,0,2016-06-20 20:15:28,2016-06-20 20:18:28,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat low,Somewhat low,Neutral,Neutral,Somewhat low,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_12A1hgIvcxN93nK,Default Response Set,Anonymous,,,174.109.119.106,0,2016-06-20 20:20:19,2016-06-20 20:21:01,1,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_3011zkSJSyXFAaY,Default Response Set,Anonymous,,,107.15.135.142,0,2016-06-21 09:04:18,2016-06-21 09:06:05,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Very low,Very low,Very high,Very low,Very low,Strongly agree,Strongly agree,Strongly agree,"KaiRx was extremely intuitive and easy to use. I watched the video tutorial, but think that I could've easily figured it out if I was asked to use it without prior instruction. I want this program in my life now!!!",35.949996948242,-78.961601257324,-1,
R_AFqA4t7rkBBRxGp,Default Response Set,Anonymous,,,152.16.191.30,0,2016-06-21 10:48:22,2016-06-21 10:49:38,1,1,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Very low,Very low,Neutral,Somewhat low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,Be able to click a button to set the date to today.,35.949996948242,-78.961601257324,-1,
R_1H13NwMBQpy6phX,Default Response Set,Anonymous,,,50.111.216.252,0,2016-06-21 17:51:49,2016-06-21 17:54:33,1,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat low,Somewhat high,Somewhat low,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,"I liked how the medication information was split up by class and condition.  This made it easier to track medication changes.  While I liked being able to see all the medication across their lifespan of being prescribed, I didn't like how I had to click on the bar to get more information about the prescription.  I also didn't like how I had to zoom in/out in order to see the information I wanted.",35.183303833008,-83.430702209473,-1,
R_1gSGYSvtSEYTou6,Default Response Set,Anonymous,,,152.16.191.34,0,2016-06-24 09:35:11,2016-06-24 09:37:44,1,1,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Very low,Very low,Very high,Somewhat low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,35.949996948242,-78.961601257324,-1,
R_2z7UK9wPDVUTqWJ,Default Response Set,Anonymous,,,50.254.238.210,0,2016-06-26 10:06:43,2016-06-26 10:10:20,1,1,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat low,Somewhat low,Somewhat high,Somewhat low,Very low,Strongly agree,Strongly agree,Strongly agree,"The UI was super jerky and slow on an Apple Safari browser, such that it was difficult to use. I would optimize the performance for all browsers in the future, or give browser recommendations. I would also add a dialog recommending that the window is maximized - the UI was completely jumbled at a narrower width, and I did not realize until later that maximizing the screen would solve the problem.",36.10400390625,-86.659896850586,-1,
R_3s1gjywleXIcgQ4,Default Response Set,Anonymous,,,71.77.78.206,0,2016-06-26 14:22:03,2016-06-26 14:23:13,1,1,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat low,Very low,Neutral,Somewhat low,Very low,Strongly agree,Somewhat agree,Neither agree nor disagree,,36.037796020508,-78.985801696777,-1,
R_1dKqMVjp3L8WPgE,Default Response Set,Anonymous,,,71.77.73.186,0,2016-06-26 15:34:08,2016-06-26 15:35:54,1,1,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Very low,Very low,Somewhat high,Very low,Very low,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_3dNdBKrM5GsjKzv,Default Response Set,Anonymous,,,71.77.77.107,0,2016-06-26 19:09:06,2016-06-26 19:09:58,1,1,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat high,Very low,Neutral,Somewhat high,Somewhat low,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_2PAbctnZhQSQixi,Default Response Set,Anonymous,,,71.206.42.176,0,2016-06-26 21:27:21,2016-06-26 21:31:11,1,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat low,Somewhat low,Somewhat high,Somewhat low,Neutral,Neither agree nor disagree,Somewhat agree,Somewhat agree,,39.28759765625,-76.592102050781,-1,
R_3isquXujjPqpH4k,Default Response Set,Anonymous,,,45.37.77.115,0,2016-06-27 15:32:19,2016-06-27 15:33:05,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat high,Somewhat low,Somewhat high,Somewhat high,Somewhat low,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,35.946594238281,-78.797698974609,-1,
R_1MM6JDfZL69LfqN,Default Response Set,Anonymous,,,99.173.128.48,0,2016-06-27 15:38:11,2016-06-27 15:39:17,1,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat low,Somewhat low,Somewhat high,Neutral,Somewhat low,Somewhat agree,Somewhat agree,Somewhat agree,,35.913299560547,-79.159202575684,-1,
R_3oLdzEm2u0qiH6r,Default Response Set,Anonymous,,,45.37.173.100,0,2016-06-27 16:02:54,2016-06-27 16:04:13,1,1,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat low,Very low,Neutral,Neutral,Somewhat low,Neither agree nor disagree,Somewhat agree,Somewhat agree,helpful to see in timeline format to better tell the story of what medications patient has tried/been switched off of etc,35.889602661133,-78.92440032959,-1,
R_33CikqOFohavybl,Default Response Set,Anonymous,,,174.106.155.110,0,2016-06-27 16:05:38,2016-06-27 16:07:23,1,1,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat low,Somewhat high,Somewhat high,Neither agree nor disagree,Somewhat agree,Somewhat agree,difficult to access notes to find out why something was changed,34.434692382812,-77.931503295898,-1,
R_2rO3yn3VHTkjwV2,Default Response Set,Anonymous,,,107.13.130.126,0,2016-06-27 16:46:12,2016-06-27 16:46:53,1,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neutral,Somewhat low,Somewhat low,Neutral,Very low,Neither agree nor disagree,Somewhat agree,Somewhat agree,,35.946594238281,-78.797698974609,-1,
R_2OT72PpzaFqc82w,Default Response Set,Anonymous,,,75.189.147.181,0,2016-06-27 17:57:31,2016-06-27 17:58:28,1,1,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat low,Very low,Somewhat high,Somewhat low,Very low,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_1JJGNrmrwYsJm8a,Default Response Set,Anonymous,,,174.109.125.76,0,2016-06-27 18:40:04,2016-06-27 18:41:03,1,1,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat low,Very low,Somewhat high,Somewhat low,Very low,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_PUmtm7TpXfPFPSF,Default Response Set,Anonymous,,,71.77.143.186,0,2016-06-27 19:26:49,2016-06-27 19:29:08,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat low,Very low,Somewhat high,Neutral,Somewhat low,Somewhat agree,Neither agree nor disagree,Somewhat agree,,34.600799560547,-78.967300415039,-1,
R_2n8AmOp2qv4bKtb,Default Response Set,Anonymous,,,71.77.143.186,0,2016-06-27 19:59:56,2016-06-27 20:01:45,1,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat low,Very low,Somewhat high,Very low,Somewhat low,Somewhat agree,Somewhat agree,Somewhat agree,,34.600799560547,-78.967300415039,-1,
R_XZhe4I5xek0kPYt,Default Response Set,Anonymous,,,98.26.56.65,0,2016-06-27 20:01:49,2016-06-27 20:02:38,1,1,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat low,Somewhat low,Somewhat high,Neutral,Very low,Somewhat agree,Strongly agree,Somewhat agree,,36.092407226562,-78.901000976562,-1,
R_2E03zoTpR8uVUnL,Default Response Set,Anonymous,,,152.16.191.70,0,2016-06-27 20:12:05,2016-06-27 20:12:54,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Very low,Very low,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,,35.946594238281,-78.797698974609,-1,
R_1FyL1V4H2w6lf6x,Default Response Set,Anonymous,,,24.163.92.196,0,2016-06-27 21:14:01,2016-06-27 21:14:51,1,1,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,,36.037796020508,-78.985801696777,-1,
R_30oBVZiDy72QjOd,Default Response Set,Anonymous,,,24.19.135.21,0,2016-06-28 00:13:52,2016-06-28 00:15:35,1,1,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat high,Somewhat low,Neutral,Somewhat high,Neutral,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,47.635498046875,-122.32350158691,-1,
R_SQdIzhRdVaCgoU1,Default Response Set,Anonymous,,,152.16.191.29,0,2016-06-28 09:23:32,2016-06-28 09:24:23,1,1,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat high,Very low,Very high,Neutral,Very low,Strongly agree,Strongly agree,Strongly agree,,35.946594238281,-78.797698974609,-1,
R_vxlVvBEbpes7hqV,Default Response Set,Anonymous,,,24.5.192.74,0,2016-06-28 23:04:40,2016-06-28 23:06:11,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat high,Neutral,Somewhat high,Neutral,Somewhat low,Somewhat agree,Somewhat agree,Somewhat agree,,37.901702880859,-122.26150512695,-1,
R_YQdpMauLAnj52aR,Default Response Set,Anonymous,,,152.16.191.32,0,2016-06-29 11:18:46,2016-06-29 11:20:14,1,1,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Very low,Very low,Very high,Somewhat low,Very low,Strongly agree,Strongly agree,Strongly agree,,35.946594238281,-78.797698974609,-1,
R_3hrRW2AuhuwCq2Y,Default Response Set,Anonymous,,,71.77.77.100,0,2016-06-29 17:24:25,2016-06-29 17:25:03,1,1,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Somewhat low,Strongly agree,Strongly agree,Strongly agree,,36.037796020508,-78.985801696777,-1,
R_2qfwPnTGOjyQmXK,Default Response Set,Anonymous,,,174.99.36.243,0,2016-06-30 18:35:32,2016-06-30 18:37:20,1,1,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat low,Very low,Somewhat high,Somewhat low,Somewhat low,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,35.949996948242,-78.961601257324,-1,
R_2XpWdqwk44N4E7h,Default Response Set,Anonymous,,,174.99.45.56,0,2016-07-02 21:35:25,2016-07-02 21:37:21,1,1,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat high,Neutral,Neutral,Strongly agree,Somewhat agree,Neither agree nor disagree,"The scrolling function may need some tweaking. There is a slight delay when dragging the bar in either direction. Otherwise, it works great.",35.949996948242,-78.961601257324,-1,
R_2rju7bbnOsSv5TX,Default Response Set,Anonymous,,,98.101.39.22,0,2016-07-03 16:27:43,2016-07-03 16:36:32,1,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neutral,Neutral,Somewhat high,Somewhat low,Very low,Strongly agree,Strongly agree,Strongly agree,"There were a couple questions that I answered incorrectly because I didn't notice the first medication on the left handed list on the screen. Maybe making a greater distinction of the first medication on the list would be nice, Especially because the med ran along all of the timespan and my eyes didnt see the distinction. ",36.037796020508,-78.985801696777,-1,
