V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,Q_TotalDuration,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2tbAQkZ5Pj2M54C,Default Response Set,Anonymous,,,199.90.157.11,0,2016-06-20 11:26:46,2016-06-20 11:51:00,1,21,1,0,1454,1,a. metformin,d. For the last 6 years,"d. No, he told me he was NOT compliant with his medication regimen and I can see when he missed his prescription refill at the pharmacy in this display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.683807373047,-78.663597106934,-1,
R_2pYaUsXcVIAhxZq,Default Response Set,Anonymous,,,24.163.88.178,0,2016-06-20 13:58:40,2016-06-20 14:09:18,1,21,1,0,637,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006",d. Bupropion was effective for this patient when it was used 10 years ago.,36.037796020508,-78.985801696777,-1,
R_3P6IojZyZehkKtS,Default Response Set,Anonymous,,,174.109.114.222,0,2016-06-20 14:50:43,2016-06-20 15:15:18,1,20,1,0,1475,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,c. He was taking other medications that decreased the efficacy of these drugs.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,,,a. Dr. Bradley,"d. December 17, 2007","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_1iaEj9pSOGhS90f,Default Response Set,Anonymous,,,152.16.191.34,0,2016-06-20 16:33:48,2016-06-20 16:42:43,1,21,1,0,534,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",b. No,"a. December 29, 2014, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_2CqYVPDWFFKhHZ2,Default Response Set,Anonymous,,,173.95.188.176,0,2016-06-20 16:35:51,2016-06-20 16:47:16,1,17,1,0,684,1,a. metformin,c. For the last 3 years,"a. Yes, he told me he was compliant with his medication regimen but I cannot see whether he has filled his prescription at the pharmacy.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,d. You did!,"a. Yes, I can see that he has filled his prescriptions on his medication display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),b. Selective norepinephrine reuptake inhibitors (SNRIs),,,e. Atypical antidepressants,,b. Sertraline,,,d. You did!,"a. October 15, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.67610168457,-78.81600189209,-1,
R_shXaMntHnH9593H,Default Response Set,Anonymous,,,107.15.227.23,0,2016-06-20 16:32:03,2016-06-20 16:52:08,1,23,1,0,1204,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.889602661133,-78.92440032959,-1,
R_1riUQ6kBpspVErS,Default Response Set,Anonymous,,,107.15.60.47,0,2016-06-20 16:36:41,2016-06-20 16:57:39,1,17,1,0,1257,1,a. metformin,c. For the last 3 years,"a. Yes, he told me he was compliant with his medication regimen but I cannot see whether he has filled his prescription at the pharmacy.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,a. 50mg and 100mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,a. Calcium channel blockers,d. I cannot tell by the information displayed on this screen what may have happened.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"f. January 18, 2008","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
R_1DvPGvE8xVWiEeA,Default Response Set,Anonymous,,,24.163.76.99,0,2016-06-20 17:31:29,2016-06-20 17:43:48,1,22,1,0,738,1,a. metformin,c. For the last 3 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_12EcyRNhNPUVtIY,Default Response Set,Anonymous,,,76.182.34.189,0,2016-06-20 18:13:47,2016-06-20 18:31:34,1,24,1,0,1066,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.889602661133,-78.92440032959,-1,
R_2wmF9o6FOF3drD3,Default Response Set,Anonymous,,,45.37.111.70,0,2016-06-20 19:26:33,2016-06-20 19:34:33,1,21,1,0,480,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,d. Despite his full compliance his blood pressure did not decrease so a new medication was added to his regimen in addition to his thiazide medication.,b. ACE inhibitors,a. He was non-compliant with his medication. Perhaps he was experiencing side effects. I will inquire more about this.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","a. The patient may have been experiencing side effects of Sertraline, therefore switched to Bupropion as monotherapy instead.",35.966598510742,-79.041000366211,-1,
R_295kUQ2WpRltNmN,Default Response Set,Anonymous,,,174.109.119.106,0,2016-06-20 19:58:31,2016-06-20 20:15:24,1,18,1,0,1012,1,a. metformin,d. For the last 6 years,"d. No, he told me he was NOT compliant with his medication regimen and I can see when he missed his prescription refill at the pharmacy in this display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,a. He was non-compliant with this medication.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,a. I would add another medication in the angiotensin receptor blocker (ARB) drug class.,a. Selective serotonin reuptake inhibitors (SSRIs),b. Selective norepinephrine reuptake inhibitors (SNRIs),,,,a. Bupropion,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"e. January 18, 2007","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",36.037796020508,-78.985801696777,-1,
R_2xx6YJ9EBqQQdMd,Default Response Set,Anonymous,,,107.15.135.142,0,2016-06-21 08:49:04,2016-06-21 09:04:04,1,24,1,0,899,1,a. metformin,d. For the last 6 years,"b. Yes, he told me he was compliant with his medication regimen and I can see that he has filled his prescriptions on his medication display.",a. Yes,"c. December 29, 2015, from 1500mg to 2000mg",a. Yes,c. 100mg and 200mg,c. Dr. Emerman,"b. No, I can see that he has NOT filled his prescription refill at the pharmacy in this display.",,,c. Naproxen,,e. Colchicine,"b. Continue metformin and add another oral agent, not in the sulfonylurea class (ie. piaglitazone).",a. Thiazide,b. Despite his full compliance his blood pressure did not decrease so his thiazide dose was increased.,b. ACE inhibitors,b. He was compliant with his medications for several months but perhaps his blood pressure remained high. I can see that the dosages were increased on both classes of anti-hypertensives.,b. I would maximize his calcium channel blocker and trial for another 3 months.,a. Selective serotonin reuptake inhibitors (SSRIs),,,,e. Atypical antidepressants,a. Bupropion,b. Sertraline,c. Fluoxetine,,a. Dr. Bradley,"c. December 17, 2006","c.  Sertraline was used as a monotherapy and was escalated in dose. It may not have been effective at the high dose, and therefore another agent, Bupropion was added.",35.949996948242,-78.961601257324,-1,
